country,city,district,neighborhood
Türkiye,İstanbul,Sultangazi,50. Yıl Mahallesi
Türkiye,İstanbul,Sultangazi,Cebeci Mahallesi
Türkiye,İstanbul,Gaziosmanpaşa,Barbaros Hayrettin Paşa Mahallesi
Türkiye,İstanbul,Gaziosmanpaşa,Karadeniz Mahallesi
Türkiye,İstanbul,Kadıköy,Caferağa Mahallesi
Türkiye,Ankara,Altındağ,Örnek Mahallesi
Türkiye,Ankara,Çankaya,Kızılay Mahallesi
Türkiye,Eskişehir,Odunpazarı,Akarbaşı Mahallesi
Türkiye,Eskişehir,Tepebaşı,Batıkent Mahallesi
Türkiye,İzmir,Konak,Alsancak Mahallesi
Türkiye,Antalya,Muratpaşa,Lara Mahallesi
Türkiye,Bursa,Osmangazi,Çekirge Mahallesi
